COUNT(Kliinik name),CONCATSTR(Kliinik name)
CONCATSTR(Revasc code),COUNT(Revasc code)
CONCATSTR(Revasc code),CONCATSTR(Revasc name)
CONCATSTR(Revasc name),COUNT(Revasc code)
DH dhSugu code,DH dhSugu name
DH dhRahvus code,DH dhRahvus name
DH dhHospitaliseerimine code,DH dhHospitaliseerimine name
Riskifaktorid rfDiabeet code,Riskifaktorid rfDiabeet name
Riskifaktorid rfHypertoonia code,Riskifaktorid rfHypertoonia name
Riskifaktorid rfNeerupuudulikus code,Riskifaktorid rfNeerupuudulikus name
VarasemadKardivaskulaarsed vkhInfarktP6etud code,VarasemadKardivaskulaarsed vkhInfarktP6etud name
VarasemadKardivaskulaarsed vkhVarasemSydamePuudulikus code,VarasemadKardivaskulaarsed vkhVarasemSydamePuudulikus name
VarasemadKardivaskulaarsed vkhInsultJahEi code,VarasemadKardivaskulaarsed vkhInsultJahEi name
VarasemadKardivaskulaarsed vkhAjuvereringeh2ired code,VarasemadKardivaskulaarsed vkhAjuvereringeh2ired name
VarasemadKardivaskulaarsed vkhNeerupuudulikkus code,VarasemadKardivaskulaarsed vkhNeerupuudulikkus name
VarasemadKardivaskulaarsed vkhKOK code,VarasemadKardivaskulaarsed vkhKOK name
VarasemadKardivaskulaarsed vkhVarasemSKG code,VarasemadKardivaskulaarsed vkhVarasemSKG name
VarasemadKardivaskulaarsed vkhVarasemSKG code,VarasemadKardivaskulaarsed vkhVarasemSkgKpv
VarasemadKardivaskulaarsed vkhVarasemSKG name,VarasemadKardivaskulaarsed vkhVarasemSkgKpv
VarasemadKardivaskulaarsed vkhVarasemPKI code,VarasemadKardivaskulaarsed vkhVarasemPKI name
VarasemadKardivaskulaarsed vkhVarasemCABG code,VarasemadKardivaskulaarsed vkhVarasemCABG name
VarasemadKardivaskulaarsed vkhVarasemCABG code,VarasemadKardivaskulaarsed vkhVarasemCabgKpv
VarasemadKardivaskulaarsed vkhVarasemCABG name,VarasemadKardivaskulaarsed vkhVarasemCabgKpv
VarasemadKardivaskulaarsed vkhPacemaker code,VarasemadKardivaskulaarsed vkhPacemaker name
VarasemadKardivaskulaarsed vkhPacemaker code,VarasemadKardivaskulaarsed vkhPacemakerKpv
VarasemadKardivaskulaarsed vkhPacemaker name,VarasemadKardivaskulaarsed vkhPacemakerKpv
DiagnostikaEkgLaborEhhoMri delemRytm code,DiagnostikaEkgLaborEhhoMri delemRytm name
DiagnostikaEkgLaborEhhoMri delemMedAsutus,DiagnostikaEkgLaborEhhoMri delemMedAsutusKpv
DiagnostikaEkgLaborEhhoMri delemVasVentrikl code,DiagnostikaEkgLaborEhhoMri delemVasVentrikl name
SKG skgUuringud code,SKG skgUuringud name
SKG skgKomplikatsioonidJahEi code,SKG skgKomplikatsioonidJahEi name
SKG skgKahjustatudArteriteArv code,SKG skgKahjustatudArteriteArv name
OperatsioonAks oaToetavRinge code,OperatsioonAks oaToetavRinge name
OperatsioonAks oaT2ielikRevaskularisatsioon code,OperatsioonAks oaT2ielikRevaskularisatsioon name
OperatsioonAks oaTehnika code,OperatsioonAks oaTehnika name
SeisundV2ljakirjutamisel svSurm code,SeisundV2ljakirjutamisel svSurm name
