VarasemadKardivaskulaarsed vkhPacemaker name,VarasemadKardivaskulaarsed vkhPacemakerKpv
VarasemadKardivaskulaarsed vkhVarasemSkgKpvII,VarasemadKardivaskulaarsed vkhVarasemSkgKpvIII
KrooniliseHaigeKliinilineSeisund khksAnginaCCSskoor code,KrooniliseHaigeKliinilineSeisund khksAnginaCCSskoor name
KrooniliseHaigeKliinilineSeisund khksSydamepuudulikkus code,KrooniliseHaigeKliinilineSeisund khksSydamepuudulikkus name
AksHaigeSeisund ahsHospitaliseerimine,AksHaigeSeisund ahsSydamepuudulikkus code
AksHaigeSeisund ahsHospitaliseerimine,AksHaigeSeisund ahsSydamepuudulikkus name
AksHaigeSeisund ahsHospitaliseerimine,DiagnostikaEkgLaborEhhoMri delemKiirabi
AksHaigeSeisund ahsHospitaliseerimine,DiagnostikaEkgLaborEhhoMri delemPerearst
AksHaigeSeisund ahsHospitaliseerimine,DiagnostikaEkgLaborEhhoMri delemPerearstKpv
AksHaigeSeisund ahsHospitaliseerimineKell,DiagnostikaEkgLaborEhhoMri delemPerearst
AksHaigeSeisund ahsHospitaliseerimineKell,DiagnostikaEkgLaborEhhoMri delemPerearstKpv
AksHaigeSeisund ahsAks,AksHaigeSeisund ahsSydamepuudulikkus code
AksHaigeSeisund ahsAks,AksHaigeSeisund ahsSydamepuudulikkus name
AksHaigeSeisund ahsAks,AksHaigeSeisund ahsKillipKlass code
AksHaigeSeisund ahsAks,AksHaigeSeisund ahsKillipKlass name
AksHaigeSeisund ahsAks,DiagnostikaEkgLaborEhhoMri delemKiirabi
AksHaigeSeisund ahsSydamepuudulikkus code,AksHaigeSeisund ahsSydamepuudulikkus name
AksHaigeSeisund ahsKillipKlass code,AksHaigeSeisund ahsKillipKlass name
AksHaigeSeisund ahsSydameSeiskus code,AksHaigeSeisund ahsSydameSeiskus name
DiagnostikaEkgLaborEhhoMri delemRytm code,DiagnostikaEkgLaborEhhoMri delemRytm name
DiagnostikaEkgLaborEhhoMri delemKiirabiKpv,DiagnostikaEkgLaborEhhoMri delemKiirabi
DiagnostikaEkgLaborEhhoMri delemPerearst,AksHaigeSeisund ahsAks
DiagnostikaEkgLaborEhhoMri delemPerearst,DiagnostikaEkgLaborEhhoMri delemKohtIAeg
DiagnostikaEkgLaborEhhoMri delemPerearst,DiagnostikaEkgLaborEhhoMri delemKohtIKpv
DiagnostikaEkgLaborEhhoMri delemPerearstKpv,AksHaigeSeisund ahsAks
DiagnostikaEkgLaborEhhoMri delemPerearstKpv,DiagnostikaEkgLaborEhhoMri delemKohtIAeg
DiagnostikaEkgLaborEhhoMri delemPerearstKpv,DiagnostikaEkgLaborEhhoMri delemKohtIKpv
